"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"AcrobatNotificationClient,""1"",""360"",""284782592"",""794624"",""7139328"",""21256"",""C:\Program Files\WindowsApps\AcrobatNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe"",,""0,34375"",,,,,""Process"",""8"",,""False"",,""2172"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""360"",""12620"",""."",""0"","""",""System.Diagnostics.ProcessModule (AcrobatNotificationClient.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""21256"",""21256"",""7139328"",""7139328"",""392872"",""392872"",""8261632"",""8261632"",""30937088"",""30937088"",""320090112"",""320090112"",""True"",""Normal"",""7139328"",""7139328"",""00:00:00.1875000"",""AcrobatNotificationClient"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:48:02 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.3437500"",""00:00:00.1562500"",""284782592"",""284782592"",""False"",,,,""794624"",""794624"",,"
"acrotray,""1"",""173"",""150794240"",""6582272"",""3203072"",""13992"",""C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\acrotray.exe"",""Adobe Systems Inc."",""0,046875"",""19.21.20047.354104"",""19.21.20047.354104"",""AcroTray"",""AcroTray - Adobe Acrobat Distiller helper application."",""Process"",""8"",,""False"",,""3244"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""173"",""12056"",""."",""0"","""",""System.Diagnostics.ProcessModule (acrotray.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""13992"",""13992"",""3203072"",""3203072"",""163080"",""163080"",""3346432"",""3346432"",""10031104"",""10031104"",""157863936"",""157863936"",""True"",""Normal"",""3203072"",""3203072"",""00:00:00.0312500"",""acrotray"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:29 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.0468750"",""00:00:00.0156250"",""150794240"",""150794240"",""False"",,,,""6582272"",""6582272"",,"
"Adobe CEF Helper,""1"",""516"",""2204080787456"",""66289664"",""143532032"",""58128"",""C:\Program Files\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe"",""Adobe Inc."",""47,90625"",""5.0.0.354"",""5.0.0.354"",""Adobe CEF Helper"",""Adobe CEF Helper"",""Process"",""8"",,""False"",,""1432"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""516"",""9436"",""."",""0"","""",""System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""58128"",""58128"",""143532032"",""143532032"",""728224"",""728224"",""171057152"",""171057152"",""211992576"",""211992576"",""773459968"",""2204091682816"",""True"",""Normal"",""143532032"",""143532032"",""00:00:27.1406250"",""Adobe CEF Helper"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:30 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:47.9062500"",""00:00:20.7656250"",""762564608"",""2204080787456"",""False"",,,,""66289664"",""66289664"",,"
"Adobe Desktop Service,""1"",""1131"",""801685504"",""44388352"",""210079744"",""106464"",""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"",""Adobe Inc."",""137,234375"",""5.0.0.354"",""5.0.0.354"",""Creative Cloud"",""Adobe Creative Cloud"",""Process"",""8"",,""False"",,""1404"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""1131"",""11340"",""."",""6751228"","""",""System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""106464"",""106464"",""210079744"",""210079744"",""743936"",""743936"",""452296704"",""452296704"",""501751808"",""501751808"",""1006915584"",""1006915584"",""True"",""Normal"",""210079744"",""210079744"",""00:01:03.8281250"",""Adobe Desktop Service"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:30 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:02:17.2343750"",""00:01:13.4062500"",""801685504"",""801685504"",""False"",,,,""44388352"",""44388352"",,"
"AdobeIPCBroker,""1"",""321"",""101441536"",""11411456"",""6557696"",""21720"",""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"",""Adobe Inc"",""33,796875"",""5.6.1.39"",""5.6.1.39"",""Adobe IPC Broker"",""Adobe IPC Broker"",""Process"",""8"",,""False"",,""1368"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""321"",""11972"",""."",""0"","""",""System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""21720"",""21720"",""6557696"",""6557696"",""166848"",""166848"",""11976704"",""11976704"",""19218432"",""19218432"",""110686208"",""110686208"",""True"",""Normal"",""6557696"",""6557696"",""00:00:07.4062500"",""AdobeIPCBroker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:29 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:33.7968750"",""00:00:26.3906250"",""101441536"",""101441536"",""False"",,,,""11411456"",""11411456"",,"
"AdobeNotificationClient,""1"",""377"",""294252544"",""9080832"",""7286784"",""21392"",""C:\Program Files\WindowsApps\AdobeNotificationClient_1.0.1.22_x86__enpm4xejd91yc\AdobeNotificationClient.exe"",""Adobe Inc."",""0,328125"",""4.9.0.484"",""4.9.0.484"",""Adobe Notification Client"",""Adobe Notification Client"",""Process"",""8"",,""False"",,""2528"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""377"",""1616"",""."",""0"","""",""System.Diagnostics.ProcessModule (AdobeNotificationClient.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""21392"",""21392"",""7286784"",""7286784"",""398488"",""398488"",""8663040"",""8663040"",""31080448"",""31080448"",""330432512"",""330432512"",""True"",""Normal"",""7286784"",""7286784"",""00:00:00.2343750"",""AdobeNotificationClient"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:41 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.3281250"",""00:00:00.0937500"",""294252544"",""294252544"",""False"",,,,""9080832"",""9080832"",,"
"AdobeUpdateService,""0"",""203"",""94990336"",""6057984"",""3305472"",""13624"",,,,,,,,""Process"",""8"",,,,,,""203"",""4960"",""."",""0"","""",,,,,""13624"",""13624"",""3305472"",""3305472"",""108040"",""108040"",""3600384"",""3600384"",""9510912"",""9510912"",""100233216"",""100233216"",,,""3305472"",""3305472"",,""AdobeUpdateService"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""94990336"",""94990336"",""False"",,,,""6057984"",""6057984"",,"
"AGMService,""0"",""310"",""81977344"",""10452992"",""4960256"",""17392"",,,,,,,,""Process"",""8"",,,,,,""310"",""3840"",""."",""0"","""",,,,,""17392"",""17392"",""4960256"",""4960256"",""149952"",""149952"",""6492160"",""6492160"",""21651456"",""21651456"",""112304128"",""112304128"",,,""4960256"",""4960256"",,""AGMService"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""81977344"",""81977344"",""False"",,,,""10452992"",""10452992"",,"
"AGSService,""0"",""265"",""69414912"",""9015296"",""3338240"",""14744"",,,,,,,,""Process"",""8"",,,,,,""265"",""2320"",""."",""0"","""",,,,,""14744"",""14744"",""3338240"",""3338240"",""135640"",""135640"",""4112384"",""4112384"",""14864384"",""14864384"",""79908864"",""79908864"",,,""3338240"",""3338240"",,""AGSService"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""69414912"",""69414912"",""False"",,,,""9015296"",""9015296"",,"
"ApplicationFrameHost,""1"",""587"",""2203575508992"",""34676736"",""21405696"",""33520"",""C:\Windows\system32\ApplicationFrameHost.exe"",""Microsoft Corporation"",""1,296875"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""Application Frame Host"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""3336"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""587"",""8964"",""."",""525598"",""Bandeja de entrada - Hotmail ?- Correo"",""System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""33520"",""33520"",""21405696"",""21405696"",""434568"",""434568"",""24436736"",""24436736"",""36073472"",""36073472"",""260505600"",""2203578728448"",""True"",""Normal"",""21405696"",""21405696"",""00:00:00.8750000"",""ApplicationFrameHost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:46:42 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.2968750"",""00:00:00.4218750"",""257286144"",""2203575508992"",""False"",,,,""34676736"",""34676736"",,"
